Year,Variable,Municipio,GeoCode,Value
2020,Tasa de paro,,,26.47
2020,Tasa de paro,Abla,4001.0,20.03
2020,Tasa de paro,Abrucena,4002.0,22.46
2020,Tasa de paro,Adra,4003.0,21.87
2020,Tasa de paro,Albanchez,4004.0,16.53
2020,Tasa de paro,Alboloduy,4005.0,18.43
2020,Tasa de paro,Albox,4006.0,20.17
2020,Tasa de paro,Alcolea,4007.0,26.17
2020,Tasa de paro,Alcóntar,4008.0,14.13
2020,Tasa de paro,Alcudia de Monteagud,4009.0,12.96
2020,Tasa de paro,Alhabia,4010.0,27.06
2020,Tasa de paro,Alhama de Almería,4011.0,23.82
2020,Tasa de paro,Alicún,4012.0,26.92
2020,Tasa de paro,Almería,4013.0,25.27
2020,Tasa de paro,Almócita,4014.0,17.23
2020,Tasa de paro,Alsodux,4015.0,18.08
2020,Tasa de paro,Antas,4016.0,12.88
2020,Tasa de paro,Arboleas,4017.0,19.03
2020,Tasa de paro,Armuña de Almanzora,4018.0,14.04
2020,Tasa de paro,Bacares,4019.0,19.21
2020,Tasa de paro,Bayárcal,4020.0,16.08
2020,Tasa de paro,Bayarque,4021.0,17.61
2020,Tasa de paro,Bédar,4022.0,20.11
2020,Tasa de paro,Beires,4023.0,21.31
2020,Tasa de paro,Benahadux,4024.0,20.81
2020,Tasa de paro,Benitagla,4026.0,9.78
2020,Tasa de paro,Benizalón,4027.0,17.69
2020,Tasa de paro,Bentarique,4028.0,24.51
2020,Tasa de paro,Berja,4029.0,23.48
2020,Tasa de paro,Canjáyar,4030.0,29.41
2020,Tasa de paro,Cantoria,4031.0,20.71
2020,Tasa de paro,Carboneras,4032.0,23.05
2020,Tasa de paro,Castro de Filabres,4033.0,11.19
2020,Tasa de paro,Cóbdar,4034.0,17.18
2020,Tasa de paro,Cuevas del Almanzora,4035.0,19.41
2020,Tasa de paro,Chercos,4036.0,19.34
2020,Tasa de paro,Chirivel,4037.0,15.27
2020,Tasa de paro,Dalías,4038.0,15.64
2020,Tasa de paro,Enix,4041.0,11.55
2020,Tasa de paro,Felix,4043.0,14.46
2020,Tasa de paro,Fines,4044.0,21.42
2020,Tasa de paro,Fiñana,4045.0,25.0
2020,Tasa de paro,Fondón,4046.0,18.22
2020,Tasa de paro,Gádor,4047.0,30.44
2020,Tasa de paro,"Gallardos, Los",4048.0,17.15
2020,Tasa de paro,Garrucha,4049.0,26.71
2020,Tasa de paro,Gérgal,4050.0,22.38
2020,Tasa de paro,Huécija,4051.0,15.22
2020,Tasa de paro,Huércal de Almería,4052.0,20.47
2020,Tasa de paro,Huércal-Overa,4053.0,17.95
2020,Tasa de paro,Íllar,4054.0,20.84
2020,Tasa de paro,Instinción,4055.0,20.05
2020,Tasa de paro,Laroya,4056.0,16.99
2020,Tasa de paro,Láujar de Andarax,4057.0,21.11
2020,Tasa de paro,Líjar,4058.0,22.88
2020,Tasa de paro,Lubrín,4059.0,18.78
2020,Tasa de paro,Lucainena de las Torres,4060.0,22.32
2020,Tasa de paro,Lúcar,4061.0,22.84
2020,Tasa de paro,Macael,4062.0,22.37
2020,Tasa de paro,María,4063.0,14.81
2020,Tasa de paro,Mojácar,4064.0,21.38
2020,Tasa de paro,Nacimiento,4065.0,17.12
2020,Tasa de paro,Níjar,4066.0,16.98
2020,Tasa de paro,Ohanes,4067.0,28.34
2020,Tasa de paro,Olula de Castro,4068.0,12.94
2020,Tasa de paro,Olula del Río,4069.0,25.7
2020,Tasa de paro,Oria,4070.0,16.06
2020,Tasa de paro,Padules,4071.0,20.14
2020,Tasa de paro,Partaloa,4072.0,16.81
2020,Tasa de paro,Paterna del Río,4073.0,22.47
2020,Tasa de paro,Pechina,4074.0,28.35
2020,Tasa de paro,Pulpí,4075.0,9.24
2020,Tasa de paro,Purchena,4076.0,20.6
2020,Tasa de paro,Rágol,4077.0,19.21
2020,Tasa de paro,Rioja,4078.0,32.05
2020,Tasa de paro,Roquetas de Mar,4079.0,22.06
2020,Tasa de paro,Santa Cruz de Marchena,4080.0,21.57
2020,Tasa de paro,Santa Fe de Mondújar,4081.0,30.52
2020,Tasa de paro,Senés,4082.0,22.07
2020,Tasa de paro,Serón,4083.0,17.09
2020,Tasa de paro,Sierro,4084.0,25.35
2020,Tasa de paro,Somontín,4085.0,18.06
2020,Tasa de paro,Sorbas,4086.0,24.15
2020,Tasa de paro,Suflí,4087.0,26.15
2020,Tasa de paro,Tabernas,4088.0,26.05
2020,Tasa de paro,Taberno,4089.0,19.31
2020,Tasa de paro,Tahal,4090.0,14.42
2020,Tasa de paro,Terque,4091.0,24.71
2020,Tasa de paro,Tíjola,4092.0,19.21
2020,Tasa de paro,Turre,4093.0,28.82
2020,Tasa de paro,Turrillas,4094.0,17.77
2020,Tasa de paro,Uleila del Campo,4095.0,20.46
2020,Tasa de paro,Urrácal,4096.0,20.06
2020,Tasa de paro,Velefique,4097.0,19.28
2020,Tasa de paro,Vélez-Blanco,4098.0,17.88
2020,Tasa de paro,Vélez-Rubio,4099.0,20.23
2020,Tasa de paro,Vera,4100.0,23.65
2020,Tasa de paro,Viator,4101.0,22.96
2020,Tasa de paro,Vícar,4102.0,20.15
2020,Tasa de paro,Zurgena,4103.0,22.25
2020,Tasa de paro,"Tres Villas, Las",4901.0,21.28
2020,Tasa de paro,"Ejido, El",4902.0,16.67
2020,Tasa de paro,"Mojonera, La",4903.0,15.82
2020,Tasa de paro,Balanegra,4904.0,13.76
2020,Tasa de paro,Alcalá de los Gazules,11001.0,34.67
2020,Tasa de paro,Alcalá del Valle,11002.0,29.39
2020,Tasa de paro,Algar,11003.0,30.25
2020,Tasa de paro,Algeciras,11004.0,32.74
2020,Tasa de paro,Algodonales,11005.0,29.68
2020,Tasa de paro,Arcos de la Frontera,11006.0,40.59
2020,Tasa de paro,Barbate,11007.0,44.25
2020,Tasa de paro,"Barrios, Los",11008.0,28.28
2020,Tasa de paro,Benaocaz,11009.0,25.75
2020,Tasa de paro,Bornos,11010.0,33.69
2020,Tasa de paro,"Bosque, El",11011.0,28.85
2020,Tasa de paro,Cádiz,11012.0,31.3
2020,Tasa de paro,Castellar de la Frontera,11013.0,28.35
2020,Tasa de paro,Conil de la Frontera,11014.0,30.28
2020,Tasa de paro,Chiclana de la Frontera,11015.0,35.68
2020,Tasa de paro,Chipiona,11016.0,36.6
2020,Tasa de paro,Espera,11017.0,31.25
2020,Tasa de paro,"Gastor, El",11018.0,27.68
2020,Tasa de paro,Grazalema,11019.0,29.64
2020,Tasa de paro,Jerez de la Frontera,11020.0,34.62
2020,Tasa de paro,Jimena de la Frontera,11021.0,29.32
2020,Tasa de paro,"Línea de la Concepción, La",11022.0,43.16
2020,Tasa de paro,Medina Sidonia,11023.0,34.14
2020,Tasa de paro,Olvera,11024.0,25.79
2020,Tasa de paro,Paterna de Rivera,11025.0,37.82
2020,Tasa de paro,Prado del Rey,11026.0,37.09
2020,Tasa de paro,"Puerto de Santa María, El",11027.0,32.81
2020,Tasa de paro,Puerto Real,11028.0,32.59
2020,Tasa de paro,Puerto Serrano,11029.0,24.71
2020,Tasa de paro,Rota,11030.0,29.91
2020,Tasa de paro,San Fernando,11031.0,35.16
2020,Tasa de paro,Sanlúcar de Barrameda,11032.0,34.48
2020,Tasa de paro,San Roque,11033.0,31.52
2020,Tasa de paro,Setenil de las Bodegas,11034.0,23.59
2020,Tasa de paro,Tarifa,11035.0,30.62
2020,Tasa de paro,Torre Alháquime,11036.0,29.1
2020,Tasa de paro,Trebujena,11037.0,26.77
2020,Tasa de paro,Ubrique,11038.0,32.43
2020,Tasa de paro,Vejer de la Frontera,11039.0,36.74
2020,Tasa de paro,Villaluenga del Rosario,11040.0,20.5
2020,Tasa de paro,Villamartín,11041.0,34.2
2020,Tasa de paro,Zahara,11042.0,26.58
2020,Tasa de paro,Benalup-Casas Viejas,11901.0,32.07
2020,Tasa de paro,San José del Valle,11902.0,31.95
2020,Tasa de paro,San Martín del Tesorillo,11903.0,
2020,Tasa de paro,Adamuz,14001.0,20.68
2020,Tasa de paro,Aguilar de la Frontera,14002.0,23.79
2020,Tasa de paro,Alcaracejos,14003.0,25.66
2020,Tasa de paro,Almedinilla,14004.0,19.68
2020,Tasa de paro,Almodóvar del Río,14005.0,31.13
2020,Tasa de paro,Añora,14006.0,24.28
2020,Tasa de paro,Baena,14007.0,23.54
2020,Tasa de paro,Belalcázar,14008.0,33.28
2020,Tasa de paro,Belmez,14009.0,42.92
2020,Tasa de paro,Benamejí,14010.0,23.64
2020,Tasa de paro,"Blázquez, Los",14011.0,33.59
2020,Tasa de paro,Bujalance,14012.0,24.65
2020,Tasa de paro,Cabra,14013.0,24.09
2020,Tasa de paro,Cañete de las Torres,14014.0,21.03
2020,Tasa de paro,Carcabuey,14015.0,18.79
2020,Tasa de paro,Cardeña,14016.0,23.16
2020,Tasa de paro,"Carlota, La",14017.0,23.33
2020,Tasa de paro,"Carpio, El",14018.0,27.68
2020,Tasa de paro,Castro del Río,14019.0,20.79
2020,Tasa de paro,Conquista,14020.0,24.33
2020,Tasa de paro,Córdoba,14021.0,28.06
2020,Tasa de paro,Doña Mencía,14022.0,22.42
2020,Tasa de paro,Dos Torres,14023.0,22.52
2020,Tasa de paro,Encinas Reales,14024.0,25.01
2020,Tasa de paro,Espejo,14025.0,19.65
2020,Tasa de paro,Espiel,14026.0,27.01
2020,Tasa de paro,Fernán-Núñez,14027.0,23.16
2020,Tasa de paro,Fuente la Lancha,14028.0,38.5
2020,Tasa de paro,Fuente Obejuna,14029.0,36.42
2020,Tasa de paro,Fuente Palmera,14030.0,20.6
2020,Tasa de paro,Fuente-Tójar,14031.0,22.06
2020,Tasa de paro,"Granjuela, La",14032.0,38.71
2020,Tasa de paro,Guadalcázar,14033.0,24.7
2020,Tasa de paro,"Guijo, El",14034.0,21.19
2020,Tasa de paro,Hinojosa del Duque,14035.0,30.9
2020,Tasa de paro,Hornachuelos,14036.0,22.79
2020,Tasa de paro,Iznájar,14037.0,18.71
2020,Tasa de paro,Lucena,14038.0,26.6
2020,Tasa de paro,Luque,14039.0,23.39
2020,Tasa de paro,Montalbán de Córdoba,14040.0,13.65
2020,Tasa de paro,Montemayor,14041.0,21.91
2020,Tasa de paro,Montilla,14042.0,22.57
2020,Tasa de paro,Montoro,14043.0,24.2
2020,Tasa de paro,Monturque,14044.0,21.21
2020,Tasa de paro,Moriles,14045.0,23.21
2020,Tasa de paro,Nueva Carteya,14046.0,20.36
2020,Tasa de paro,Obejo,14047.0,29.44
2020,Tasa de paro,Palenciana,14048.0,21.63
2020,Tasa de paro,Palma del Río,14049.0,24.49
2020,Tasa de paro,Pedro Abad,14050.0,26.39
2020,Tasa de paro,Pedroche,14051.0,25.95
2020,Tasa de paro,Peñarroya-Pueblonuevo,14052.0,40.82
2020,Tasa de paro,Posadas,14053.0,24.08
2020,Tasa de paro,Pozoblanco,14054.0,21.6
2020,Tasa de paro,Priego de Córdoba,14055.0,23.87
2020,Tasa de paro,Puente Genil,14056.0,27.93
2020,Tasa de paro,"Rambla, La",14057.0,16.76
2020,Tasa de paro,Rute,14058.0,19.22
2020,Tasa de paro,San Sebastián de los Ballesteros,14059.0,21.66
2020,Tasa de paro,Santaella,14060.0,19.59
2020,Tasa de paro,Santa Eufemia,14061.0,26.92
2020,Tasa de paro,Torrecampo,14062.0,21.94
2020,Tasa de paro,Valenzuela,14063.0,19.16
2020,Tasa de paro,Valsequillo,14064.0,28.04
2020,Tasa de paro,"Victoria, La",14065.0,24.0
2020,Tasa de paro,Villa del Río,14066.0,25.49
2020,Tasa de paro,Villafranca de Córdoba,14067.0,24.67
2020,Tasa de paro,Villaharta,14068.0,33.73
2020,Tasa de paro,Villanueva de Córdoba,14069.0,21.77
2020,Tasa de paro,Villanueva del Duque,14070.0,24.37
2020,Tasa de paro,Villanueva del Rey,14071.0,31.37
2020,Tasa de paro,Villaralto,14072.0,23.51
2020,Tasa de paro,Villaviciosa de Córdoba,14073.0,28.21
2020,Tasa de paro,"Viso, El",14074.0,25.39
2020,Tasa de paro,Zuheros,14075.0,24.38
2020,Tasa de paro,Fuente Carreteros,14901.0,
2020,Tasa de paro,"Guijarrosa, La",14902.0,
2020,Tasa de paro,Agrón,18001.0,32.97
2020,Tasa de paro,Alamedilla,18002.0,26.63
2020,Tasa de paro,Albolote,18003.0,23.5
2020,Tasa de paro,Albondón,18004.0,22.84
2020,Tasa de paro,Albuñán,18005.0,21.35
2020,Tasa de paro,Albuñol,18006.0,16.97
2020,Tasa de paro,Albuñuelas,18007.0,27.15
2020,Tasa de paro,Aldeire,18010.0,26.99
2020,Tasa de paro,Alfacar,18011.0,24.7
2020,Tasa de paro,Algarinejo,18012.0,24.28
2020,Tasa de paro,Alhama de Granada,18013.0,17.0
2020,Tasa de paro,Alhendín,18014.0,24.65
2020,Tasa de paro,Alicún de Ortega,18015.0,24.91
2020,Tasa de paro,Almegíjar,18016.0,22.05
2020,Tasa de paro,Almuñécar,18017.0,29.32
2020,Tasa de paro,Alquife,18018.0,22.65
2020,Tasa de paro,Arenas del Rey,18020.0,25.92
2020,Tasa de paro,Armilla,18021.0,26.82
2020,Tasa de paro,Atarfe,18022.0,27.37
2020,Tasa de paro,Baza,18023.0,21.81
2020,Tasa de paro,Beas de Granada,18024.0,19.52
2020,Tasa de paro,Beas de Guadix,18025.0,30.98
2020,Tasa de paro,Benalúa,18027.0,34.58
2020,Tasa de paro,Benalúa de las Villas,18028.0,17.21
2020,Tasa de paro,Benamaurel,18029.0,23.77
2020,Tasa de paro,Bérchules,18030.0,20.17
2020,Tasa de paro,Bubión,18032.0,28.88
2020,Tasa de paro,Busquístar,18033.0,31.55
2020,Tasa de paro,Cacín,18034.0,21.84
2020,Tasa de paro,Cádiar,18035.0,25.11
2020,Tasa de paro,Cájar,18036.0,21.64
2020,Tasa de paro,Calicasas,18037.0,23.26
2020,Tasa de paro,Campotéjar,18038.0,19.47
2020,Tasa de paro,Caniles,18039.0,21.66
2020,Tasa de paro,Cáñar,18040.0,33.67
2020,Tasa de paro,Capileira,18042.0,22.2
2020,Tasa de paro,Carataunas,18043.0,33.89
2020,Tasa de paro,Cástaras,18044.0,14.95
2020,Tasa de paro,Castilléjar,18045.0,25.74
2020,Tasa de paro,Castril,18046.0,22.97
2020,Tasa de paro,Cenes de la Vega,18047.0,26.24
2020,Tasa de paro,Cijuela,18048.0,25.36
2020,Tasa de paro,Cogollos de Guadix,18049.0,27.3
2020,Tasa de paro,Cogollos de la Vega,18050.0,26.26
2020,Tasa de paro,Colomera,18051.0,23.63
2020,Tasa de paro,Cortes de Baza,18053.0,27.6
2020,Tasa de paro,Cortes y Graena,18054.0,25.84
2020,Tasa de paro,Cúllar,18056.0,21.17
2020,Tasa de paro,Cúllar Vega,18057.0,24.61
2020,Tasa de paro,Chauchina,18059.0,24.54
2020,Tasa de paro,Chimeneas,18061.0,25.46
2020,Tasa de paro,Churriana de la Vega,18062.0,25.56
2020,Tasa de paro,Darro,18063.0,32.5
2020,Tasa de paro,Dehesas de Guadix,18064.0,20.12
2020,Tasa de paro,Dehesas Viejas,18065.0,21.23
2020,Tasa de paro,Deifontes,18066.0,28.26
2020,Tasa de paro,Diezma,18067.0,26.25
2020,Tasa de paro,Dílar,18068.0,23.07
2020,Tasa de paro,Dólar,18069.0,18.32
2020,Tasa de paro,Dúdar,18070.0,17.7
2020,Tasa de paro,Dúrcal,18071.0,29.73
2020,Tasa de paro,Escúzar,18072.0,25.62
2020,Tasa de paro,Ferreira,18074.0,16.23
2020,Tasa de paro,Fonelas,18076.0,28.51
2020,Tasa de paro,Fornes,18077.0,
2020,Tasa de paro,Freila,18078.0,23.13
2020,Tasa de paro,Fuente Vaqueros,18079.0,32.77
2020,Tasa de paro,Galera,18082.0,27.22
2020,Tasa de paro,Gobernador,18083.0,18.95
2020,Tasa de paro,Gójar,18084.0,23.19
2020,Tasa de paro,Gor,18085.0,22.81
2020,Tasa de paro,Gorafe,18086.0,36.43
2020,Tasa de paro,Granada,18087.0,28.4
2020,Tasa de paro,Guadahortuna,18088.0,33.26
2020,Tasa de paro,Guadix,18089.0,24.99
2020,Tasa de paro,Gualchos,18093.0,14.67
2020,Tasa de paro,Güéjar Sierra,18094.0,23.1
2020,Tasa de paro,Güevéjar,18095.0,29.01
2020,Tasa de paro,Huélago,18096.0,29.15
2020,Tasa de paro,Huéneja,18097.0,19.23
2020,Tasa de paro,Huéscar,18098.0,23.03
2020,Tasa de paro,Huétor de Santillán,18099.0,25.17
2020,Tasa de paro,Huétor Tájar,18100.0,20.37
2020,Tasa de paro,Huétor Vega,18101.0,22.04
2020,Tasa de paro,Íllora,18102.0,24.24
2020,Tasa de paro,Ítrabo,18103.0,23.16
2020,Tasa de paro,Iznalloz,18105.0,30.57
2020,Tasa de paro,Játar,18106.0,12.34
2020,Tasa de paro,Jayena,18107.0,28.8
2020,Tasa de paro,Jérez del Marquesado,18108.0,31.59
2020,Tasa de paro,Jete,18109.0,19.64
2020,Tasa de paro,Jun,18111.0,21.87
2020,Tasa de paro,Juviles,18112.0,23.91
2020,Tasa de paro,"Calahorra, La",18114.0,27.77
2020,Tasa de paro,Láchar,18115.0,27.12
2020,Tasa de paro,Lanjarón,18116.0,31.2
2020,Tasa de paro,Lanteira,18117.0,24.98
2020,Tasa de paro,Lecrín,18119.0,22.84
2020,Tasa de paro,Lentegí,18120.0,24.54
2020,Tasa de paro,Lobras,18121.0,15.97
2020,Tasa de paro,Loja,18122.0,23.57
2020,Tasa de paro,Lugros,18123.0,18.32
2020,Tasa de paro,Lújar,18124.0,11.95
2020,Tasa de paro,"Malahá, La",18126.0,26.83
2020,Tasa de paro,Maracena,18127.0,25.5
2020,Tasa de paro,Marchal,18128.0,29.86
2020,Tasa de paro,Moclín,18132.0,23.8
2020,Tasa de paro,Molvízar,18133.0,26.89
2020,Tasa de paro,Monachil,18134.0,26.26
2020,Tasa de paro,Montefrío,18135.0,19.5
2020,Tasa de paro,Montejícar,18136.0,20.95
2020,Tasa de paro,Montillana,18137.0,18.7
2020,Tasa de paro,Moraleda de Zafayona,18138.0,20.57
2020,Tasa de paro,Motril,18140.0,24.5
2020,Tasa de paro,Murtas,18141.0,24.21
2020,Tasa de paro,Nigüelas,18143.0,23.51
2020,Tasa de paro,Nívar,18144.0,21.32
2020,Tasa de paro,Ogíjares,18145.0,22.34
2020,Tasa de paro,Orce,18146.0,22.33
2020,Tasa de paro,Órgiva,18147.0,32.72
2020,Tasa de paro,Otívar,18148.0,19.76
2020,Tasa de paro,Villa de Otura,18149.0,24.0
2020,Tasa de paro,Padul,18150.0,27.71
2020,Tasa de paro,Pampaneira,18151.0,25.15
2020,Tasa de paro,Pedro Martínez,18152.0,29.82
2020,Tasa de paro,Peligros,18153.0,24.91
2020,Tasa de paro,"Peza, La",18154.0,27.3
2020,Tasa de paro,Pinos Genil,18157.0,18.65
2020,Tasa de paro,Pinos Puente,18158.0,36.41
2020,Tasa de paro,Píñar,18159.0,23.54
2020,Tasa de paro,Polícar,18161.0,18.05
2020,Tasa de paro,Polopos,18162.0,15.05
2020,Tasa de paro,Pórtugos,18163.0,21.6
2020,Tasa de paro,Puebla de Don Fadrique,18164.0,20.74
2020,Tasa de paro,Pulianas,18165.0,28.25
2020,Tasa de paro,Purullena,18167.0,29.52
2020,Tasa de paro,Quéntar,18168.0,30.08
2020,Tasa de paro,Rubite,18170.0,22.36
2020,Tasa de paro,Salar,18171.0,24.52
2020,Tasa de paro,Salobreña,18173.0,28.53
2020,Tasa de paro,Santa Cruz del Comercio,18174.0,17.63
2020,Tasa de paro,Santa Fe,18175.0,32.31
2020,Tasa de paro,Soportújar,18176.0,18.22
2020,Tasa de paro,Sorvilán,18177.0,21.96
2020,Tasa de paro,Torre-Cardela,18178.0,24.74
2020,Tasa de paro,Torvizcón,18179.0,27.45
2020,Tasa de paro,Trevélez,18180.0,20.36
2020,Tasa de paro,Turón,18181.0,15.17
2020,Tasa de paro,Ugíjar,18182.0,28.43
2020,Tasa de paro,Válor,18183.0,26.94
2020,Tasa de paro,Vélez de Benaudalla,18184.0,23.8
2020,Tasa de paro,Ventas de Huelma,18185.0,24.68
2020,Tasa de paro,Villanueva de las Torres,18187.0,35.16
2020,Tasa de paro,Villanueva Mesía,18188.0,18.72
2020,Tasa de paro,Víznar,18189.0,20.61
2020,Tasa de paro,Zafarraya,18192.0,15.56
2020,Tasa de paro,"Zubia, La",18193.0,24.31
2020,Tasa de paro,Zújar,18194.0,22.78
2020,Tasa de paro,"Taha, La",18901.0,31.3
2020,Tasa de paro,"Valle, El",18902.0,25.45
2020,Tasa de paro,Nevada,18903.0,30.53
2020,Tasa de paro,Alpujarra de la Sierra,18904.0,20.68
2020,Tasa de paro,"Gabias, Las",18905.0,26.73
2020,Tasa de paro,"Guájares, Los",18906.0,23.38
2020,Tasa de paro,Valle del Zalabí,18907.0,19.68
2020,Tasa de paro,Villamena,18908.0,26.27
2020,Tasa de paro,Morelábor,18909.0,23.12
2020,Tasa de paro,"Pinar, El",18910.0,30.72
2020,Tasa de paro,Vegas del Genil,18911.0,23.6
2020,Tasa de paro,Cuevas del Campo,18912.0,23.5
2020,Tasa de paro,Zagra,18913.0,20.57
2020,Tasa de paro,Valderrubio,18914.0,23.24
2020,Tasa de paro,Domingo Pérez de Granada,18915.0,26.26
2020,Tasa de paro,Torrenueva Costa,18916.0,
2020,Tasa de paro,Alájar,21001.0,34.04
2020,Tasa de paro,Aljaraque,21002.0,20.28
